@relation Suporte_Tecnico_Chatbot

@attribute respostas_incorretas integer
@attribute tempo_resposta numeric
@attribute repeticoes integer
@attribute avaliacao_usuario integer
@attribute mensagens_totais integer
@attribute comunicabilidade {Boa, Regular, Ruim}

@data
4,4.95,3,5,15,Regular
3,6.25,1,3,24,Regular
4,7.15,2,4,10,Regular
3,4.05,0,3,19,Regular
4,5.65,3,5,6,Regular
3,7.40,1,3,22,Regular
4,4.45,2,4,16,Regular
3,5.95,0,3,12,Regular
4,6.40,3,5,25,Regular
3,7.99,1,3,5,Regular
4,4.70,2,4,17,Regular
3,5.25,0,3,9,Regular
4,6.65,3,5,21,Regular
3,4.35,1,3,11,Regular
4,7.80,2,4,14,Regular
3,5.50,0,3,23,Regular
4,6.05,3,5,8,Regular
1,2.10,1,5,11,Boa
2,1.80,0,4,19,Boa
0,2.60,1,5,6,Boa
1,1.45,2,4,21,Boa
2,2.55,0,5,16,Boa
0,1.25,1,4,23,Boa
1,2.90,0,5,11,Boa
2,1.65,2,4,18,Boa
0,2.05,1,5,9,Boa
1,2.75,0,4,15,Boa
2,1.15,2,5,12,Boa
0,2.30,1,4,8,Boa
1,1.99,0,5,20,Boa
2,2.40,1,4,14,Boa
0,2.88,0,5,7,Boa
1,1.01,2,4,17,Boa
2,2.12,1,5,13,Boa
0,2.77,0,4,11,Boa
1,1.30,2,5,19,Boa
2,2.00,1,4,6,Boa
0,2.95,0,5,22,Boa
1,1.50,2,4,25,Boa
2,2.65,1,5,5,Boa
0,1.75,0,4,21,Boa
1,2.25,2,5,16,Boa
2,1.35,1,4,23,Boa
0,2.80,0,5,11,Boa
1,1.85,2,4,18,Boa
2,2.20,1,5,9,Boa
7,5.05,2,1,10,Ruim
6,7.90,1,2,15,Ruim
5,4.40,3,1,25,Ruim
8,6.25,0,2,9,Ruim
7,4.05,2,1,18,Ruim
6,5.80,1,2,13,Ruim
5,7.00,3,1,20,Ruim
8,4.75,0,2,7,Ruim
7,5.35,2,1,16,Ruim
6,6.75,1,2,23,Ruim
5,4.20,3,1,11,Ruim
8,6.00,0,2,19,Ruim
7,5.65,2,1,6,Ruim
6,7.20,1,2,21,Ruim
5,4.80,3,1,14,Ruim
8,6.45,0,2,22,Ruim
7,5.15,2,1,17,Ruim
6,6.95,1,2,12,Ruim
5,4.55,3,1,24,Ruim
8,6.15,0,2,8,Ruim
7,5.40,2,1,10,Ruim
6,7.45,1,2,15,Ruim
5,4.30,3,1,25,Ruim
8,6.60,0,2,9,Ruim
7,5.00,2,1,18,Ruim
6,5.95,1,2,13,Ruim
5,7.10,3,1,20,Ruim
4,5.00,1,3,17,Regular
3,6.20,2,4,9,Regular
4,3.80,0,3,21,Regular
3,6.80,3,5,11,Regular
4,7.30,1,3,14,Regular
3,4.65,2,4,23,Regular
4,5.45,0,3,8,Regular
3,7.00,3,5,18,Regular
4,4.90,1,3,13,Regular
3,5.10,2,4,20,Regular
4,7.85,0,3,7,Regular
3,4.50,3,5,15,Regular
4,6.00,1,3,24,Regular
3,7.25,2,4,10,Regular
4,4.10,0,3,19,Regular
3,5.85,3,5,6,Regular
4,7.55,1,3,22,Regular
3,4.30,2,4,16,Regular
4,5.70,0,3,12,Regular
3,6.55,3,5,25,Regular
4,7.90,1,3,5,Regular
3,4.60,2,4,17,Regular
4,5.35,0,3,9,Regular
3,6.75,3,5,21,Regular
4,4.40,1,3,11,Regular
3,7.70,2,4,14,Regular
4,5.60,0,3,23,Regular
3,6.15,3,5,8,Regular
1,2.45,0,5,12,Boa
2,1.10,1,4,8,Boa
0,2.85,0,5,20,Boa
1,1.60,1,4,15,Boa
2,2.50,2,5,9,Boa
0,1.35,0,4,18,Boa
1,2.05,1,5,7,Boa
2,1.75,0,4,14,Boa
0,2.65,1,5,10,Boa
1,1.90,0,4,17,Boa
2,2.35,1,5,13,Boa
0,1.40,2,4,11,Boa
1,2.70,0,5,19,Boa
2,1.20,1,4,6,Boa
0,2.40,1,5,22,Boa
1,1.55,0,4,25,Boa
2,2.80,1,5,5,Boa
0,1.70,2,4,21,Boa
1,2.99,0,5,16,Boa
2,1.45,1,4,23,Boa
0,2.15,0,5,11,Boa
1,2.60,1,4,18,Boa
2,1.00,2,5,9,Boa
0,2.90,0,4,15,Boa
1,1.80,1,5,12,Boa
2,2.25,0,4,8,Boa
0,1.95,1,5,20,Boa
1,2.50,2,4,14,Boa
2,1.65,0,5,7,Boa
8,5.00,1,1,10,Ruim
7,7.80,3,2,15,Ruim
6,4.35,2,1,25,Ruim
5,6.10,0,2,9,Ruim
8,4.10,1,1,18,Ruim
7,5.70,3,2,13,Ruim
6,6.85,2,1,20,Ruim
5,4.65,0,2,7,Ruim
8,5.25,1,1,16,Ruim
7,6.65,3,2,23,Ruim
6,4.15,2,1,11,Ruim
5,5.95,0,2,19,Ruim
8,5.55,1,1,6,Ruim
7,7.05,3,2,21,Ruim
6,4.70,2,1,14,Ruim
5,6.35,0,2,22,Ruim
8,5.10,1,1,17,Ruim
7,6.90,3,2,12,Ruim
6,4.50,2,1,24,Ruim
5,6.05,0,2,8,Ruim
8,5.30,1,1,10,Ruim
7,7.35,3,2,15,Ruim
6,4.40,2,1,25,Ruim
5,6.50,0,2,9,Ruim
8,4.05,1,1,18,Ruim
7,5.85,3,2,13,Ruim
6,7.15,2,1,20,Ruim
4,5.10,0,3,17,Regular
3,6.30,3,4,9,Regular
4,3.70,2,3,21,Regular
3,6.95,1,5,11,Regular
4,7.45,0,3,14,Regular
3,4.75,3,4,23,Regular
4,5.55,2,3,8,Regular
3,7.10,1,5,18,Regular
4,5.05,0,3,13,Regular
3,5.20,3,4,20,Regular
4,7.75,2,3,7,Regular
3,4.40,1,5,15,Regular
4,6.10,0,3,24,Regular
3,7.35,3,4,10,Regular
4,4.20,2,3,19,Regular
3,5.95,1,5,6,Regular
4,7.65,0,3,22,Regular
3,4.25,3,4,16,Regular
4,5.80,2,3,12,Regular
3,6.65,1,5,25,Regular
4,7.95,0,3,5,Regular
3,4.55,3,4,17,Regular
4,5.40,2,3,9,Regular
3,6.85,1,5,21,Regular
4,4.30,0,3,11,Regular
3,7.85,3,4,14,Regular
4,5.70,2,3,23,Regular
3,6.25,1,5,8,Regular
